"出发城市","到达城市","距离公里","驾驶时间分钟","数据日期","数据说明"
"圣塞巴斯蒂安","里斯本","918","597","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","波尔图","735","491","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","马德里","314","216","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","巴塞罗那","308","210","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","瓦伦西亚","308","212","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","塞维利亚","845","553","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","格拉纳达","725","482","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","科尔多瓦","699","465","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","马拉加","842","565","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","龙达","854","610","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","托莱多","385","258","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","塞哥维亚","407","277","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","萨拉曼卡","538","355","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","圣地亚哥","777","520","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","毕尔巴鄂","303","199","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","圣塞巴斯蒂安","264","182","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","赫罗纳","376","254","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","阿利坎特","470","324","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","加的斯","947","628","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","梅里达","660","434","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","里斯本","940","612","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉戈萨","波尔图","820","544","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","马德里","687","456","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","巴塞罗那","103","81","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","瓦伦西亚","442","298","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","塞维利亚","1088","714","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","格拉纳达","928","619","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","科尔多瓦","953","626","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","马拉加","1058","705","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","龙达","1106","759","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","托莱多","759","498","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","塞哥维亚","781","516","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","萨拉曼卡","912","596","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","圣地亚哥","1151","762","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","毕尔巴鄂","677","441","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","圣塞巴斯蒂安","638","396","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","萨拉戈萨","379","254","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","阿利坎特","629","416","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","加的斯","1201","789","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","梅里达","1033","674","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","里斯本","1313","852","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"赫罗纳","波尔图","1194","786","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","马德里","420","277","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","巴塞罗那","535","357","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","瓦伦西亚","178","126","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","塞维利亚","597","404","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","格拉纳达","350","244","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","科尔多瓦","510","351","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","马拉加","480","330","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","龙达","527","384","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","托莱多","418","274","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","塞哥维亚","513","344","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","萨拉曼卡","636","425","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","圣地亚哥","1014","671","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","毕尔巴鄂","774","517","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","圣塞巴斯蒂安","735","500","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","萨拉戈萨","471","326","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","赫罗纳","628","410","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","加的斯","641","465","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","梅里达","634","442","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","里斯本","914","620","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"阿利坎特","波尔图","978","650","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","马德里","652","431","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","巴塞罗那","1106","730","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","瓦伦西亚","767","510","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","塞维利亚","121","86","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","格拉纳达","293","238","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","科尔多瓦","252","172","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","马拉加","235","170","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","龙达","145","121","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","托莱多","588","393","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","塞哥维亚","721","475","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","萨拉曼卡","579","385","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","圣地亚哥","945","667","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","毕尔巴鄂","979","636","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","圣塞巴斯蒂安","1034","675","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","萨拉戈萨","944","629","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","赫罗纳","1200","784","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","阿利坎特","640","464","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","梅里达","308","209","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","里斯本","580","382","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"加的斯","波尔图","717","508","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","马德里","345","233","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","巴塞罗那","959","628","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","瓦伦西亚","603","425","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","塞维利亚","191","131","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","格拉纳达","439","305","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","科尔多瓦","244","187","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","马拉加","401","282","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","龙达","319","242","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","托莱多","305","204","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","塞哥维亚","415","277","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","萨拉曼卡","273","186","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","圣地亚哥","645","471","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","毕尔巴鄂","672","438","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","圣塞巴斯蒂安","727","477","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","萨拉戈萨","654","431","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","赫罗纳","1027","673","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","阿利坎特","629","439","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","加的斯","308","208","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","里斯本","288","191","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"梅里达","波尔图","418","312","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","马德里","629","411","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","巴塞罗那","1243","806","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","瓦伦西亚","887","602","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","塞维利亚","463","303","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","格拉纳达","713","480","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","科尔多瓦","524","364","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","马拉加","675","456","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","龙达","588","413","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","托莱多","589","381","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","塞哥维亚","620","423","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","萨拉曼卡","470","309","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","圣地亚哥","542","365","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","毕尔巴鄂","865","558","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","圣塞巴斯蒂安","920","597","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","萨拉戈萨","938","609","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","赫罗纳","1311","851","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","阿利坎特","913","617","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","加的斯","578","380","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","梅里达","288","190","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"里斯本","波尔图","314","206","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","马德里","555","379","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","巴塞罗那","1124","741","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","瓦伦西亚","914","613","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","塞维利亚","601","430","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","格拉纳达","849","604","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","科尔多瓦","655","486","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","马拉加","812","581","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","龙达","729","541","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","托莱多","572","405","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","塞哥维亚","490","344","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","萨拉曼卡","351","236","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","圣地亚哥","233","167","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","毕尔巴鄂","680","450","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","圣塞巴斯蒂安","735","489","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","萨拉戈萨","821","543","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","赫罗纳","1192","786","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","阿利坎特","977","648","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","加的斯","718","507","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","梅里达","419","312","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"波尔图","里斯本","313","207","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
