起点,终点,道路公里,道路分钟,说明,更新日期
科斯塔阿德赫／Puerto Colón,南机场 TFS,20.4,29.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,洛斯克里斯蒂亚诺斯港,6.7,11.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,拉古纳古城,82.5,56.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,拉奥罗塔瓦,70.7,67.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,克鲁斯港,74.5,68.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,加拉奇科,50.5,50.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,伊科德龙血树公园,48.9,46.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,马斯卡接驳点 · 圣地亚哥-德尔泰德,28.7,24.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,洛斯吉甘特斯港／巨人悬崖,26.9,28.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,泰德缆车下站,51.0,53.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,阿纳加 · Cruz del Carmen,92.6,68.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,特雷西塔海滩,86.9,67.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
科斯塔阿德赫／Puerto Colón,埃尔梅达诺海滩,23.9,20.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,圣克鲁斯市区,77.1,57.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,北机场 TFN,84.1,63.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,南机场 TFS,19.6,32.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,科斯塔阿德赫／Puerto Colón,7.0,12.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,拉古纳古城,81.7,58.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,拉奥罗塔瓦,75.8,72.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,克鲁斯港,79.6,74.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,加拉奇科,55.6,55.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,伊科德龙血树公园,54.0,51.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,马斯卡接驳点 · 圣地亚哥-德尔泰德,33.8,29.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,洛斯吉甘特斯港／巨人悬崖,32.0,33.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,泰德缆车下站,50.0,54.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,阿纳加 · Cruz del Carmen,91.8,71.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,特雷西塔海滩,86.1,69.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯克里斯蒂亚诺斯港,埃尔梅达诺海滩,23.1,23.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,圣克鲁斯市区,10.2,9.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,北机场 TFN,3.3,5.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,南机场 TFS,69.7,60.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,科斯塔阿德赫／Puerto Colón,81.2,55.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,洛斯克里斯蒂亚诺斯港,80.7,57.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,拉奥罗塔瓦,26.9,20.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,克鲁斯港,27.5,19.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,加拉奇科,52.2,46.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,伊科德龙血树公园,48.1,40.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,马斯卡接驳点 · 圣地亚哥-德尔泰德,64.8,57.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,洛斯吉甘特斯港／巨人悬崖,79.1,74.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,泰德缆车下站,54.4,55.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,阿纳加 · Cruz del Carmen,11.2,14.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,特雷西塔海滩,18.8,22.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉古纳古城,埃尔梅达诺海滩,65.4,45.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,圣克鲁斯市区,35.9,29.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,北机场 TFN,29.1,25.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,南机场 TFS,95.4,80.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,科斯塔阿德赫／Puerto Colón,68.3,69.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,洛斯克里斯蒂亚诺斯港,72.8,74.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,拉古纳古城,27.0,21.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,克鲁斯港,6.2,7.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,加拉奇科,27.7,32.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,伊科德龙血树公园,23.6,27.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,马斯卡接驳点 · 圣地亚哥-德尔泰德,40.3,44.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,洛斯吉甘特斯港／巨人悬崖,54.6,60.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,泰德缆车下站,36.2,43.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,阿纳加 · Cruz del Carmen,35.0,33.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,特雷西塔海滩,44.5,41.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
拉奥罗塔瓦,埃尔梅达诺海滩,91.1,65.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,圣克鲁斯市区,36.8,28.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,北机场 TFN,30.0,24.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,南机场 TFS,96.3,79.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,科斯塔阿德赫／Puerto Colón,72.0,70.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,洛斯克里斯蒂亚诺斯港,76.4,75.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,拉古纳古城,27.9,20.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,拉奥罗塔瓦,5.9,7.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
